sep=;
Table;Action;Records;Fields
;create;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;update;$resource.creatorId=$user.id;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;delete;$resource.creatorId=$user.id;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
Mentor;read;$resource.creatorId=$user.id;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;any;*
;update;$resource.creatorId=$user.id;*
;delete;$resource.creatorId=$user.id;*
Device;read;$resource.creatorId=$user.id;*
;create;none;
;update;none;
;delete;none;
AppSetting;read;$resource.creatorId=$user.id ;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId, !deleted
;create;none;
;update;none;
;delete;none;
Country;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
Currency;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
DataType;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
DeviceType;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
Language;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
OS;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
PaymentMethod;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
Translation;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
UserTitle;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
Gender;read;any;*, !id, !dateDeleted, !createDate, !dateModified, !creatorId
;create;none;
;update;none;
;delete;none;
